cityLabel,population,countryLabel,gps,longitude,latitude
Quanzhou,6480000,People's Republic of China,Point(118.59479 24.89744),118.59,24.90
Rio de Janeiro,6476631,Brazil,Point(-43.196388888 -22.908333333),-43.20,-22.91
Shangrao,6441000,People's Republic of China,Point(117.963333333 28.441944444),117.96,28.44
Nanjing,6320000,People's Republic of China,Point(118.766666666 32.05),118.77,32.05
Santiago,6310000,Chile,Point(-70.666666666 -33.45),-70.67,-33.45
Kunming,6250000,People's Republic of China,Point(102.71043 25.04691),102.71,25.05
Nanchong,6183000,People's Republic of China,Point(106.07843 30.79913),106.08,30.80
Zunyi,6127009,People's Republic of China,Point(106.93363 27.70498),106.93,27.70
Lu'an,6090000,People's Republic of China,Point(116.50778 31.75425),116.51,31.75
Allahabad,5954391,India,Point(81.85 25.45),81.85,25.45
Pune,5945000,India,Point(73.847777777 18.523611111),73.85,18.52
Surat,5935000,India,Point(72.83 21.17),72.83,21.17
Singapore,5888926,Singapore,Point(103.8 1.3),103.80,1.30
Bandung,5860000,Indonesia,Point(107.566666666 -6.95),107.57,-6.95
Suzhou,5845000,People's Republic of China,Point(120.61642 31.30401),120.62,31.30
Xiangyang,5844000,People's Republic of China,Point(112.15307 32.06536),112.15,32.07
Jingzhou,5841000,People's Republic of China,Point(112.236111111 30.324444444),112.24,30.32
Qingdao,5775000,People's Republic of China,Point(120.4 36.116666666),120.40,36.12
Xi'an,5740000,People's Republic of China,Point(108.9 34.266666666),108.90,34.27
Taizhou,5740000,People's Republic of China,Point(121.42213 28.6583),121.42,28.66
Qujing,5729000,People's Republic of China,Point(103.80287 25.51018),103.80,25.51
Changde,5717200,People's Republic of China,Point(111.6839 29.03966),111.68,29.04
Bangkok,5696409,Thailand,Point(100.516666666 13.75),100.52,13.75
Dazhou,5693000,People's Republic of China,Point(107.49472 31.2152),107.49,31.22
Jieyang,5634000,People's Republic of China,Point(116.36495 23.55334),116.36,23.55
Anqing,5590000,People's Republic of China,Point(117.033333333 30.5),117.03,30.50
Nairobi,5545000,Kenya,Point(36.816666666 -1.283333333),36.82,-1.28
Xinxiang,5516000,People's Republic of China,Point(113.88515 35.29917),113.89,35.30
Tai'an,5499000,People's Republic of China,Point(120.943407 24.46748),120.94,24.47
Tai'an,5499000,People's Republic of China,Point(117.12697 36.1881),117.13,36.19
Yangon,5430000,Myanmar,Point(96.15 16.8),96.15,16.80
Suihua,5420000,People's Republic of China,Point(126.98079 46.6384),126.98,46.64
Yichun,5400000,People's Republic of China,Point(114.38303 27.80412),114.38,27.80
Shantou,5389328,People's Republic of China,Point(116.694111 23.373472),116.69,23.37
Qiqihar,5367003,People's Republic of China,Point(123.95124 47.33981),123.95,47.34
Khartoum,5345000,Sudan,Point(32.52654 15.60308),32.53,15.60
Shantou,5319028,People's Republic of China,Point(116.694111 23.373472),116.69,23.37
Weinan,5300000,People's Republic of China,Point(109.46838 34.49962),109.47,34.50
Saint Petersburg,5281579,Russia,Point(30.316666666 59.95),30.32,59.95
Ankara,5270575,Turkey,Point(32.866666666 39.866666666),32.87,39.87
Zhaotong,5252000,People's Republic of China,Point(103.71445 27.33284),103.71,27.33
Fuzhou,5245000,People's Republic of China,Point(119.291666666 26.076944444),119.29,26.08
Yueyang,5158000,People's Republic of China,Point(113.1309 29.36472),113.13,29.36
Yongzhou,5128000,People's Republic of China,Point(111.59527 26.4515),111.60,26.45
Bozhou,5100000,People's Republic of China,Point(115.77422 33.86264),115.77,33.86
Guilin,5046000,People's Republic of China,Point(110.283333333 25.266666666),110.28,25.27
Nanchang,5042565,People's Republic of China,Point(115.887222 28.684167),115.89,28.68
Xianyang,5040000,People's Republic of China,Point(108.716667 34.35),108.72,34.35
Taizhou,5031000,People's Republic of China,Point(119.9 32.483056),119.90,32.48
Harbin,5015000,People's Republic of China,Point(126.633333333 45.75),126.63,45.75
Meizhou,5001000,People's Republic of China,Point(116.11913 24.29977),116.12,24.30
Amman,4995000,Jordan,Point(35.933333333 31.95),35.93,31.95
Abidjan,4980000,Ivory Coast,Point(-4.026666666 5.336388888),-4.03,5.34
Surabaya,4975000,Indonesia,Point(112.733333333 -7.233333333),112.73,-7.23
Mianyang,4945000,People's Republic of China,Point(104.73847 31.46688),104.74,31.47
Shaoxing,4912239,People's Republic of China,Point(120.583333333 30.0),120.58,30.00
Alexandria,4870000,Egypt,Point(29.916666666 31.2),29.92,31.20
Yuncheng,4860000,People's Republic of China,Point(110.99796 35.03042),111.00,35.03
Sydney,4840600,Australia,Point(151.2 -33.866666666),151.20,-33.87
Pingdingshan,4838000,People's Republic of China,Point(113.29992 33.73499),113.30,33.73
Huai'an,4799889,People's Republic of China,Point(119.133056 33.5),119.13,33.50
Lianyungang,4790000,People's Republic of China,Point(119.1801 34.59057),119.18,34.59
Ji'an,4759000,People's Republic of China,Point(115.0 27.133333333),115.00,27.13
Jiu​jiang,4728778,People's Republic of China,Point(115.987222 29.738056),115.99,29.74
Dar es Salaam,4715000,Tanzania,Point(39.283333333 -6.8),39.28,-6.80
Kaifeng,4676159,People's Republic of China,Point(114.34034 34.79357),114.34,34.79
Xiaogan,4665000,People's Republic of China,Point(113.91096 30.92731),113.91,30.93
Jinhua,4610000,People's Republic of China,Point(119.64937 29.10462),119.65,29.10
Wuxi,4580000,People's Republic of China,Point(120.283333 31.566667),120.28,31.57
Huaihua,4558000,People's Republic of China,Point(109.959167 27.549444),109.96,27.55
Zibo,4530597,People's Republic of China,Point(118.049722 36.783056),118.05,36.78
Melbourne,4529500,Australia,Point(144.961388888 -37.820555555),144.96,-37.82
Jilin City,4500000,People's Republic of China,Point(126.56157 43.8461),126.56,43.85
Kolkata,4496694,India,Point(88.337777777 22.541111111),88.34,22.54
Yangzhou,4459000,People's Republic of China,Point(119.43625 32.39117),119.44,32.39
Yibin,4456000,People's Republic of China,Point(104.63997 28.75961),104.64,28.76
Jiangmen,4448871,People's Republic of China,Point(113.07224 22.58908),113.07,22.59
Cape Town,433688,South Africa,Point(18.425 -33.925),18.43,-33.93
Johannesburg,4434827,South Africa,Point(28.050277777 -26.145),28.05,-26.15
Chenzhou,4385000,People's Republic of China,Point(113.02667 25.79893),113.03,25.80
Chifeng,4376600,People's Republic of China,Point(118.92234 42.26626),118.92,42.27
Casablanca,4370000,Morocco,Point(-7.62 33.599166666),-7.62,33.60
Gui​yang,4365000,People's Republic of China,Point(106.70786 26.57942),106.71,26.58
Langfang,4358839,People's Republic of China,Point(116.70056 39.51962),116.70,39.52
Zhangjiakou,4345491,People's Republic of China,Point(114.88114 40.81078),114.88,40.81
Linfen,4316610,People's Republic of China,Point(111.50865 36.08121),111.51,36.08
Wenzhou,4310000,People's Republic of China,Point(120.656075 27.999128),120.66,28.00
Chongqing,4306933,People's Republic of China,Point(106.506944444 29.55),106.51,29.55
Chongqing,4300000,People's Republic of China,Point(106.506944444 29.55),106.51,29.55
Luzhou,4291000,People's Republic of China,Point(105.44093 28.89182),105.44,28.89
Xuchang,4289000,People's Republic of China,Point(113.82014 34.02444),113.82,34.02
Visakhapatnam,4288113,India,Point(83.25 17.7),83.25,17.70
Neijiang,4238000,People's Republic of China,Point(105.0635 29.58716),105.06,29.59
Ziyang,4217000,People's Republic of China,Point(104.63974 30.12562),104.64,30.13
Yiyang,4174000,People's Republic of China,Point(112.333333333 28.583333333),112.33,28.58
İzmir,4168415,Turkey,Point(27.15 38.433333333),27.15,38.43
Hengshui,4150000,People's Republic of China,Point(115.68599 37.73484),115.69,37.73
Yichang,4115000,People's Republic of China,Point(111.280278 30.708333),111.28,30.71
Chuzhou,4110000,People's Republic of China,Point(118.31148 32.30621),118.31,32.31
Los Angeles,3976322,United States of America,Point(-118.25 34.05),-118.25,34.05
New Taipei City,3970644,Taiwan,Point(121.445833 25.011111),121.45,25.01
Zhaoqing,3910000,People's Republic of China,Point(112.45 23.05),112.45,23.05
Huizhou,3875000,People's Republic of China,Point(114.41331 23.0904),114.41,23.09
Wuhu,3842100,People's Republic of China,Point(118.36223 31.33398),118.36,31.33
Binzhou,3779200,People's Republic of China,Point(118.0125 37.380555555),118.01,37.38
Zhangzhou,3760000,People's Republic of China,Point(117.66117 24.50932),117.66,24.51
Baoji,3738700,People's Republic of China,Point(107.17507 34.36094),107.18,34.36
Yokohama,3733234,Japan,Point(139.633333333 35.433333333),139.63,35.43
Guang'an,3723000,People's Republic of China,Point(106.63358 30.46729),106.63,30.47
Hanzhong,3700000,People's Republic of China,Point(107.02598 33.07938),107.03,33.08
Zhuzhou,3696000,People's Republic of China,Point(113.14692 27.84071),113.15,27.84
Tongren,3680000,People's Republic of China,Point(109.18851 27.72334),109.19,27.72
Kabul,3678034,Afghanistan,Point(69.165833333 34.532777777),69.17,34.53
Qingyuan,3660000,People's Republic of China,Point(113.05075 23.68425),113.05,23.68
Zaozhuang,3650000,People's Republic of China,Point(117.55 34.866666666),117.55,34.87
Deyang,3636000,People's Republic of China,Point(104.39499 31.12892),104.39,31.13
